word,openmoji_url,match_type,annotation
Ice Cream,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F368.svg,openmoji|score100,ice cream
Idli,,none,
Iguana,,none,
In,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F600.svg,openmoji|score80,grinning face
Indian Gooseberry,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F1EE-1F1F4.svg,openmoji|score60,flag: British Indian Ocean Territory
Indigo,,none,
Inside,,none,
Islam,,none,
Ivory,,none,
Jackfruit,,none,
Jaguar,,none,
Jainism,,none,
Jam,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F1EF-1F1F2.svg,openmoji|score80,flag: Jamaica
Jamun,,none,
Jeep,,none,
Jellyfish,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FABC.svg,openmoji|score100,jellyfish
Jet,,none,
Jewelry Store,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F3EA.svg,openmoji|score60,convenience store
Journalist,,none,
Judaism,,none,
Judge,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9D1-200D-2696-FE0F.svg,openmoji|score100,judge
Juice,,none,
Jungle,,none,
Kale,,none,
Kangaroo,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F998.svg,openmoji|score100,kangaroo
Karva Chauth,,none,
Kayak,,none,
Ketchup,,none,
Khichdi,,none,
Kiwi,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F95D.svg,openmoji|score80,kiwi fruit
Knee,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9CE.svg,openmoji|score80,person kneeling
Knuckle,,none,
Koala,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F428.svg,openmoji|score100,koala
Ladybug,,none,
Lake,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/2744.svg,openmoji|score80,snowflake
Lasagna,,none,
Laundry,,none,
Lavender,,none,
Lawyer,,none,
Leaf,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F340.svg,openmoji|score80,four leaf clover
Leek,,none,
Left,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F5E8.svg,openmoji|score80,left speech bubble
Leg,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9B5.svg,openmoji|score100,leg
Lemon,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F34B.svg,openmoji|score100,lemon
Lentil Soup,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E0C2.svg,openmoji|score60,lentils with spaetzle
Leopard,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F406.svg,openmoji|score100,leopard
Lettuce,,none,
Librarian,,none,
Lime,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F34B-200D-1F7E9.svg,openmoji|score100,lime
Lion,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F981.svg,openmoji|score100,lion
Lip,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FAE6.svg,openmoji|score80,biting lip
Lychee,,none,
Magenta,,none,
Mall,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F6E9.svg,openmoji|score80,small airplane
Mango,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F96D.svg,openmoji|score100,mango
Mangosteen,,none,
Market,,none,
Maroon,,none,
Mechanic,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9D1-200D-1F527.svg,openmoji|score100,mechanic
Milk,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F95B.svg,openmoji|score80,glass of milk
Mom,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F912.svg,openmoji|score80,face with thermometer
Momos,,none,
Monkey,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F412.svg,openmoji|score100,monkey
Moon,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F96E.svg,openmoji|score80,moon cake
Moose,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FACE.svg,openmoji|score100,moose
Mother,,none,
Motorcycle,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F3CD.svg,openmoji|score100,motorcycle
Mountain,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/26F0.svg,openmoji|score100,mountain
Mouse,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F401.svg,openmoji|score100,mouse
Mouth,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F444.svg,openmoji|score100,mouth
Mud,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F1E7-1F1F2.svg,openmoji|score80,flag: Bermuda
Muffin,,none,
Mulberry,,none,
Mushroom,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F344.svg,openmoji|score100,mushroom
Musician,,none,
Naan,,none,
Nail,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F485.svg,openmoji|score80,nail polish
Narwhal,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E006.svg,openmoji|score100,narwhal
Navratri,,none,
Navy,,none,
Neck,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F454.svg,openmoji|score80,necktie
Nectarine,,none,
Nephew,,none,
Nest,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FAB9.svg,openmoji|score80,empty nest
New Year,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F311.svg,openmoji|score60,new moon
Niece,,none,
Noodles,,none,
North,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E0A0.svg,openmoji|score100,north
Nose,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F443.svg,openmoji|score100,nose
Nurse,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E302.svg,openmoji|score80,female nurse
Oatmeal,,none,
Ocean,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F1EE-1F1F4.svg,openmoji|score80,flag: British Indian Ocean Territory
Octopus,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F419.svg,openmoji|score100,octopus
Officer,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F46E.svg,openmoji|score80,police officer
Okra,,none,
Olive,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FAD2.svg,openmoji|score100,olive
On,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F923.svg,openmoji|score80,rolling on the floor laughing
Onam,,none,
Onion,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9C5.svg,openmoji|score100,onion
Orange,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9E1.svg,openmoji|score80,orange heart
Orangutan,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9A7.svg,openmoji|score100,orangutan
Ostrich,,none,
Outside,,none,
Oval,,none,
Over,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F92D.svg,openmoji|score80,face with hand over mouth
Owl,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F989.svg,openmoji|score100,owl
Painter,,none,
Pancake,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F95E.svg,openmoji|score80,pancakes
Panda,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F43C.svg,openmoji|score100,panda
Paneer,,none,
Papaya,,none,
Parent,,none,
Parrot,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F99C.svg,openmoji|score100,parrot
Pasta,,none,
Peach,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F351.svg,openmoji|score100,peach
Peacock,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F99A.svg,openmoji|score100,peacock
Pear,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F350.svg,openmoji|score100,pear
Peas,,none,
Penguin,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F427.svg,openmoji|score100,penguin
Pentagon,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/2B1F.svg,openmoji|score80,black pentagon
Pharmacy,,none,
Photographer,,none,
Pig,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F416.svg,openmoji|score100,pig
Pilot,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9D1-200D-2708-FE0F.svg,openmoji|score100,pilot
Pineapple,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F34D.svg,openmoji|score100,pineapple
Pink,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FA77.svg,openmoji|score80,pink heart
Pizza,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F355.svg,openmoji|score100,pizza
Plane,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/2708.svg,openmoji|score80,airplane
Plant,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FAB4.svg,openmoji|score80,potted plant
Plum,,none,
Plumber,,none,
Pomegranate,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E0C4.svg,openmoji|score100,pomegranate
Pond,,none,
Pongal,,none,
Popcorn,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F37F.svg,openmoji|score100,popcorn
Post Office,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F3E4.svg,openmoji|score100,post office
Potato,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F954.svg,openmoji|score100,potato
Puddle,,none,
Pumpkin,,none,
Purple,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F49C.svg,openmoji|score80,purple heart
Quail,,none,
Queen,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/2655.svg,openmoji|score80,white chess queen
Quesadilla,,none,
Quince,,none,
Quokka,,none,
Rabbit,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F407.svg,openmoji|score100,rabbit
Radish,,none,
Rain,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9E0.svg,openmoji|score80,brain
Rainbow,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F308.svg,openmoji|score100,rainbow
Raksha Bandhan,,none,
Ramadan,,none,
Raspberry,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E1C9.svg,openmoji|score80,raspberry pi
Rat,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F400.svg,openmoji|score100,rat
Rectangle,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/25AC.svg,openmoji|score80,black rectangle
Red,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F62B.svg,openmoji|score80,tired face
Restaurant,,none,
Rhino,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F98F.svg,openmoji|score80,rhinoceros
Rice,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F33E.svg,openmoji|score80,sheaf of rice
Rickshaw,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F6FA.svg,openmoji|score80,auto rickshaw
Right,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F5EF.svg,openmoji|score80,right anger bubble
River,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FA9B.svg,openmoji|score80,screwdriver
Rock,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FAA8.svg,openmoji|score100,rock
Rocket,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F680.svg,openmoji|score100,rocket
Rooster,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F413.svg,openmoji|score100,rooster
Roti,,none,
Salad,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F957.svg,openmoji|score80,green salad
Salon,,none,
Samosa,,none,
Sand,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F96A.svg,openmoji|score80,sandwich
Sandwich,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F96A.svg,openmoji|score100,sandwich
Scientist,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9D1-200D-1F52C.svg,openmoji|score100,scientist
Scooter,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F6F5.svg,openmoji|score80,motor scooter
Sheep,,none,
Ship,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F6A2.svg,openmoji|score100,ship
Shoulder,,none,
Sideways,,none,
Sikhism,,none,
Silver,,none,
Singer,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9D1-200D-1F3A4.svg,openmoji|score100,singer
Sister,,none,
Skateboard,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F6F9.svg,openmoji|score100,skateboard
Sky,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E070.svg,openmoji|score80,bluesky
Sled,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F6F7.svg,openmoji|score100,sled
Smoothie,,none,
Snail,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F40C.svg,openmoji|score100,snail
Snake,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F40D.svg,openmoji|score100,snake
Snow,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F3C2.svg,openmoji|score80,snowboarder
Soldier,,none,
Son,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9D1.svg,openmoji|score80,person
Soup,,none,
South,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F1EC-1F1F8.svg,openmoji|score80,flag: South Georgia & South Sandwich Islands
Sphere,,none,
Spinach,,none,
Square,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F7E5.svg,openmoji|score80,red square
Squash,,none,
Squirrel,,none,
Star,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/2B50.svg,openmoji|score100,star
Stepmother,,none,
Stomach,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E313.svg,openmoji|score100,stomach
Stone,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F94C.svg,openmoji|score80,curling stone
Storm,,none,
Strawberry,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F353.svg,openmoji|score100,strawberry
Submarine,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E21A.svg,openmoji|score100,submarine
